carat,cut,colour,clarity,Length,Width,height,depth ratio,table,Grading,price
1.2,Very Good,H,SI2,6.74,6.77,4.25,62.9,56.0,Mid  ,5257
0.6,Ideal,G,VVS2,5.37,5.41,3.31,61.4,59.0,Mid  ,2313
0.23,Ideal,G,IF,3.93,3.96,2.48,62.8,55.0, Low  ,536
1.51,Very Good,D,VS2,7.29,7.34,4.56,62.3,59.0,High  ,14112
1.01,Very Good,D,VVS2,6.51,6.57,3.94,60.2,58.0,High  ,9965
0.34,Very Good,G,VVS2,4.45,4.48,2.78,62.3,59.0, Low  ,740
0.31,Ideal,F,VVS1,4.37,4.4,2.68,61.1,56.0, Low  ,975
0.3,Ideal,F,VS1,4.3,4.33,2.68,62.2,54.4, Low  ,652
2.17,Premium,J,SI2,8.31,8.26,5.16,62.3,58.0,High  ,13556
0.32,Premium,F,SI1,4.4,4.37,2.75,62.7,57.0, Low  ,684
0.49,Premium,E,VS2,5.2,5.14,3.04,58.8,59.0,Mid  ,1351
0.4,Very Good,D,VVS2,4.7,4.72,2.95,62.6,55.0,Mid  ,1168
0.35,Good,E,SI2,4.49,4.45,2.86,64.0,55.0, Low  ,588
1.04,Premium,H,SI1,6.54,6.6,4.01,61.0,58.0,Mid  ,4999
1.18,Very Good,G,VS2,6.74,6.77,4.23,62.7,54.7,High  ,8411
1.55,Premium,H,VS1,7.64,7.59,4.45,58.4,61.0,High  ,9041
0.57,Ideal,E,VS2,5.36,5.34,3.3,61.7,56.0,Mid  ,1949
1.2,Ideal,I,VVS2,6.91,6.82,4.22,61.5,57.0,Mid  ,6581
0.31,Good,G,VVS1,4.32,4.36,2.75,63.4,57.0, Low  ,816
1.51,Ideal,H,SI1,7.37,7.33,4.58,62.3,54.0,High  ,11163
1.14,Ideal,G,VS2,6.74,6.77,4.15,61.4,56.0,High  ,7667
0.52,Good,I,SI1,5.05,5.1,3.23,63.6,60.0, Low  ,978
0.72,Good,D,VS1,5.69,5.75,3.62,63.3,55.0,Mid  ,3570
1.23,Premium,F,VS1,6.9,6.94,4.24,61.3,60.0,High  ,9319
1.5,Premium,H,SI1,7.33,7.27,4.45,61.0,60.0,High  ,9820
0.3,Ideal,G,IF,4.31,4.34,2.64,61.0,57.0, Low  ,863
0.53,Ideal,G,IF,5.2,5.24,3.21,61.4,56.0,Mid  ,2247
0.73,Ideal,E,SI2,5.73,5.76,3.61,62.8,55.0,Mid  ,2431
0.96,Very Good,G,SI1,6.27,6.23,3.95,63.2,57.0,Mid  ,4247
0.53,Premium,D,VS2,5.2,5.24,3.21,61.5,58.0,Mid  ,1857
2.11,Premium,G,SI2,8.19,8.23,5.11,62.2,58.0,High  ,13598
0.71,Premium,D,VS2,5.88,5.85,3.44,58.7,61.0,Mid  ,2968
0.5,Very Good,G,VVS2,5.04,5.11,3.19,62.9,57.0,Mid  ,1838
0.3,Ideal,F,VS2,4.27,4.31,2.69,62.7,57.0, Low  ,605
